"accuracy","auc","precision","sensitivity","specificity","f1"
0.842857142857143,0.718866459627329,0.870043956043956,0.932732919254658,0.505,0.899370600414079
0.807142857142857,0.714215603237342,0.862214452214452,0.897716920760399,0.530714285714286,0.876831823115977
0.842857142857143,0.708928571428572,0.856773487382183,0.951428571428571,0.466428571428571,0.901159083249073
0.85,0.701596745486906,0.861340297383776,0.9620823798627,0.441111111111111,0.907467406105072
0.85,0.714123376623377,0.864389233954451,0.962294372294372,0.465952380952381,0.908592288832069
0.835714285714286,0.676333587592169,0.850465838509317,0.961556064073227,0.391111111111111,0.899635427785289
0.828571428571429,0.68695652173913,0.858923395445135,0.933913043478261,0.44,0.893147181671424
0.828571428571429,0.702608695652174,0.86386845039019,0.925217391304348,0.48,0.892346861543373
0.842857142857143,0.748694463431306,0.866066180196615,0.942150831624516,0.555238095238095,0.900589481440545


