"algorithm","layers","accuracy","auc","precision","recall","specificity","f1","hidden_layers"
"RPROP-",1,"0.785714285714286","0.713099567099567","0.874860411899314","0.857151515151515","0.569047619047619","0.861165311653117","3"
"RPROP+",1,"0.742857142857143","0.710851940457204","0.877936507936508","0.782814992025518","0.638888888888889","0.824285714285714","6"
"SAG",1,"0.764285714285714","0.702841991341991","0.877733860342556","0.816398268398268","0.589285714285714","0.840966940009916","3"
"RPROP-",2,"0.8","0.730376435159044","0.886071645110547","0.86265763222285","0.598095238095238","0.869808725553406","1-1"
"RPROP+",2,"0.807142857142857","0.692843967626576","0.862678593717495","0.899021268586486","0.486666666666667","0.878192003289135","1-1"
"SAG",2,"0.8","0.69381517033691","0.862833047958906","0.889535102578581","0.498095238095238","0.87354609929078","1-1"
"RPROP-",3,"0.821428571428571","0.696792063861118","0.870200270743749","0.901462915601023","0.492121212121212","0.881666500592332","1-1-1"
"RPROP+",3,"0.778571428571429","0.724378411443629","0.88264221158958","0.824709203839639","0.624047619047619","0.850207038549443","1-1-1"
"SAG",3,"0.835714285714286","0.823626482213439","0.928961038961039","0.852729154903068","0.79452380952381","0.887684327096812","1-12-13"
