"","accuracy","auc","precision","recall","f1","V1"
"100","0.992857142857143","0.996","1","0.992","1","4-1-4"
"101","0.971428571428572","0.941071428571428","0.973780538302277","0.990476190476191","1","4-2-1"
"102","0.985714285714286","0.971428571428572","0.982608695652174","1","1","4-2-2"
"103","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-2-3"
"104","0.992857142857143","0.988888888888889","0.99","1","1","4-2-4"
"105","0.878571428571429","0.755","0.876523809523809","1","0.866666666666667","4-3-1"
"106","0.964285714285714","0.953679653679654","0.960909090909091","0.990476190476191","1","4-3-2"
"107","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-3-3"
"108","1","1","1","1","1","4-3-4"
"109","0.964285714285714","0.922857142857143","0.959666666666667","1","1","4-4-1"
"110","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-4-2"
"111","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-4-3"
"112","0.978571428571429","0.941666666666667","0.975333333333333","1","1","4-4-4"
"113","1","1","1","1","1","4-5-1"
"114","0.992857142857143","0.988888888888889","0.99","1","1","4-5-2"
"115","1","1","1","1","1","4-5-3"
"116","0.985714285714286","0.977777777777778","0.980952380952381","1","1","4-5-4"
"117","0.985714285714286","0.973333333333333","0.980778032036613","1","1","4-6-1"
"118","0.992857142857143","0.988888888888889","0.99","1","1","4-6-2"
"119","1","1","1","1","1","4-6-3"
"120","1","1","1","1","1","4-6-4"
"121","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-7-1"
"122","0.992857142857143","0.995238095238095","1","0.990476190476191","1","4-7-2"
"123","1","1","1","1","1","4-7-3"
"124","0.992857142857143","0.990909090909091","0.988888888888889","1","1","4-7-4"
"125","0.985714285714286","0.966666666666667","0.982608695652174","1","1","4-8-1"
"126","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-8-2"
"127","1","1","1","1","1","4-8-3"
"128","1","1","1","1","1","4-8-4"
"129","0.985714285714286","0.963333333333333","0.982971014492753","1","1","5-1-1"
"130","0.957142857142857","0.895454545454546","0.959615384615385","0.990909090909091","1","5-1-2"
"131","0.964285714285714","0.921666666666667","0.956093544137022","1","1","5-1-3"
"132","0.95","0.891666666666667","0.945378151260504","1","0.933333333333333","5-1-4"
"133","0.935714285714286","0.866287878787879","0.938528138528138","0.990909090909091","0.933333333333333","5-2-1"
"134","0.992857142857143","0.983333333333333","0.991304347826087","1","1","5-2-2"
"135","1","1","1","1","1","5-2-3"
"136","0.992857142857143","0.994736842105263","1","0.989473684210526","1","5-2-4"
"137","0.992857142857143","0.988888888888889","0.99","1","1","5-3-1"
"138","1","1","1","1","1","5-3-2"
"139","1","1","1","1","1","5-3-3"
"140","0.992857142857143","0.975","0.992","1","1","5-3-4"
"141","0.978571428571428","0.965","0.971291866028708","1","1","5-4-1"
"142","0.985714285714286","0.97","0.992","0.99","1","5-4-2"
"143","0.985714285714286","0.945652173913043","0.992592592592593","0.991304347826087","1","5-4-3"
"144","0.985714285714286","0.971428571428572","0.982608695652174","1","1","5-4-4"
"145","0.978571428571428","0.9625","0.973913043478261","1","1","5-5-1"
"146","0.978571428571429","0.948333333333333","0.972778032036613","1","1","5-5-2"
"147","1","1","1","1","1","5-5-3"
"148","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-5-4"
"149","0.957142857142857","0.9","0.957142857142857","1","0.933333333333333","5-6-1"
"150","0.985714285714286","0.970833333333333","0.991666666666667","0.991666666666667","1","5-6-2"
"151","0.971428571428572","0.955555555555555","0.965217391304348","1","1","5-6-3"
"152","0.992857142857143","0.9875","0.990476190476191","1","1","5-6-4"
"153","1","1","1","1","1","5-7-1"
"154","0.971428571428571","0.962121212121212","0.972727272727273","0.990909090909091","1","5-7-2"
"155","0.992857142857143","0.99","0.989473684210526","1","1","5-7-3"
"156","1","1","1","1","1","5-7-4"
"157","1","1","1","1","1","5-8-1"
"158","1","1","1","1","1","5-8-2"
"159","0.978571428571429","0.972727272727273","0.97","1","1","5-8-3"
"160","0.985714285714286","0.984343434343434","0.99","0.990909090909091","1","5-8-4"
"161","0.971428571428572","0.947222222222222","0.97247619047619","0.991666666666667","1","6-1-1"
"162","0.971428571428571","0.952380952380952","0.973517786561265","0.990476190476191","1","6-1-2"
"163","0.978571428571429","0.958787878787879","0.982971014492753","0.990909090909091","1","6-1-3"
"164","0.921428571428571","0.820768588137009","0.920426065162907","0.989473684210526","0.933333333333333","6-1-4"
"165","0.978571428571429","0.946666666666667","0.974275362318841","1","1","6-2-1"
"166","0.992857142857143","0.985714285714286","0.990909090909091","1","1","6-2-2"
"167","0.992857142857143","0.966666666666667","0.992307692307692","1","1","6-2-3"
"168","0.978571428571429","0.964502164502165","0.981818181818182","0.990909090909091","1","6-2-4"
"169","0.978571428571429","0.95","0.972952380952381","1","1","6-3-1"
"170","0.985714285714286","0.976623376623377","0.97979797979798","1","1","6-3-2"
"171","1","1","1","1","1","6-3-3"
"172","1","1","1","1","1","6-3-4"
"173","0.9","0.775","0.896103896103896","1","0.866666666666667","6-4-1"
"174","0.985714285714286","0.970833333333333","0.981780538302277","1","1","6-4-2"
"175","0.992857142857143","0.990909090909091","0.988888888888889","1","1","6-4-3"
"176","0.985714285714286","0.968888888888889","0.981666666666667","1","1","6-4-4"
"177","1","1","1","1","1","6-5-1"
"178","0.978571428571429","0.961363636363636","0.980888888888889","0.990909090909091","1","6-5-2"
"179","0.985714285714286","0.958333333333333","0.983304347826087","1","1","6-5-3"
"180","0.985714285714286","0.966666666666667","0.982608695652174","1","1","6-5-4"
"181","0.95","0.885185185185185","0.954285714285714","0.992592592592593","0.933333333333333","6-6-1"
"182","0.992857142857143","0.98","0.991666666666667","1","1","6-6-2"
"183","0.985714285714286","0.98","0.98","1","1","6-6-3"
"184","0.985714285714286","0.975","0.981818181818182","1","1","6-6-4"
"185","0.985714285714286","0.9625","0.982476190476191","1","1","6-7-1"
"186","0.985714285714286","0.971428571428572","0.982608695652174","1","1","6-7-2"
"187","1","1","1","1","1","6-7-3"
"188","1","1","1","1","1","6-7-4"
"189","0.985714285714286","0.975","0.981818181818182","1","1","6-8-1"
"190","0.992857142857143","0.9875","0.990476190476191","1","1","6-8-2"
"191","0.964285714285714","0.923650793650794","0.955579710144928","1","1","6-8-3"
"192","1","NaN","1","1","1","6-8-4"
"193","0.985714285714286","0.971428571428571","0.982608695652174","1","1","7-1-1"
"194","0.957142857142857","0.937269841269841","0.956126482213439","0.992","1","7-1-2"
"195","0.992857142857143","0.983333333333333","0.991304347826087","1","1","7-1-3"
"196","0.985714285714286","0.971428571428572","0.982608695652174","1","1","7-1-4"
"197","0.978571428571428","0.972514619883041","0.980952380952381","0.989473684210526","1","7-2-1"
"198","0.985714285714286","0.970833333333333","0.981780538302277","1","1","7-2-2"
"199","1","1","1","1","1","7-2-3"
"200","0.992857142857143","0.995652173913043","1","0.991304347826087","1","7-2-4"
"201","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","7-3-1"
"202","0.985714285714286","0.965714285714286","0.982575757575758","1","1","7-3-2"
"203","1","1","1","1","1","7-3-3"
"204","0.985714285714286","0.970833333333333","0.981780538302277","1","1","7-3-4"
"205","0.95","0.922608695652174","0.973333333333333","0.965217391304348","1","7-4-1"
"206","1","1","1","1","1","7-4-2"
