"id","accuracy","auc","precision","recall","f1","layers"
"100","0.992857142857143","0.985714285714286","0.990909090909091","1","1","13-4"
"101","1","1","1","1","1","13-5"
"102","0.992857142857143","0.988888888888889","0.99","1","1","13-6"
"103","0.992857142857143","0.9875","0.990476190476191","1","1","13-7"
"104","1","1","1","1","1","13-8"
"105","0.985714285714286","0.971428571428572","0.982608695652174","1","1","14-1"
"106","0.985714285714286","0.966666666666667","0.983333333333333","1","1","14-2"
"107","0.985714285714286","0.975","0.981818181818182","1","1","14-3"
"108","0.992857142857143","0.9875","0.990476190476191","1","1","14-4"
"109","0.985714285714286","0.970833333333333","0.981780538302277","1","1","14-5"
"110","0.985714285714286","0.975714285714286","0.980382775119617","1","1","14-6"
"111","0.985714285714286","0.975454545454545","0.991666666666667","0.990909090909091","1","14-7"
"112","1","1","1","1","1","14-8"
"113","0.992857142857143","0.98","0.991666666666667","1","1","15-1"
"114","0.992857142857143","0.983333333333333","0.991304347826087","1","1","15-2"
"115","0.992857142857143","0.983333333333333","0.991304347826087","1","1","15-3"
"116","0.992857142857143","0.995","1","0.99","1","15-4"
"117","1","1","1","1","1","15-5"
"118","1","1","1","1","1","15-6"
"119","0.992857142857143","0.983333333333333","0.991304347826087","1","1","15-7"
"120","0.978571428571429","0.944047619047619","0.974213438735178","1","1","15-8"
