"","accuracy","auc","precision","recall","f1","V1"
"29","0.942857142857143","0.870238095238095","0.949142857142857","0.990476190476191","0.933333333333333","1-8-1"
"30","0.992857142857143","0.985714285714286","0.990909090909091","1","1","1-8-2"
"31","1","1","1","1","1","1-8-3"
"32","0.964285714285714","0.9","0.964285714285714","1","0.933333333333333","1-8-4"
"33","0.978571428571428","0.974444444444444","0.978947368421053","0.988888888888889","1","2-1-1"
"34","0.992857142857143","0.988888888888889","0.99","1","1","2-1-2"
"35","0.992857142857143","0.995238095238095","1","0.990476190476191","1","2-1-3"
"36","0.992857142857143","0.988888888888889","0.99","1","1","2-1-4"
"37","0.971428571428572","0.9575","0.970952380952381","0.99","1","2-2-1"
"38","0.95","0.885714285714286","0.948051948051948","1","0.933333333333333","2-2-2"
"39","0.985714285714286","0.977777777777778","0.98","1","1","2-2-3"
"40","0.985714285714286","0.973214285714286","0.981385281385281","1","1","2-2-4"
"41","1","1","1","1","1","2-3-1"
"42","0.964285714285714","0.923429951690821","0.965567765567766","0.991304347826087","1","2-3-2"
"43","1","1","1","1","1","2-3-3"
"44","0.942857142857143","0.9","0.942857142857143","1","0.933333333333333","2-3-4"
"45","0.992857142857143","0.983333333333333","0.991304347826087","1","1","2-4-1"
"46","1","1","1","1","1","2-4-2"
"47","0.978571428571428","0.975","0.968421052631579","1","1","2-4-3"
"48","1","1","1","1","1","2-4-4"
"49","0.985714285714286","0.963333333333333","0.982971014492753","1","1","2-5-1"
"50","0.992857142857143","0.9875","0.990476190476191","1","1","2-5-2"
"51","0.985714285714286","0.971428571428571","0.982608695652174","1","1","2-5-3"
"52","0.992857142857143","0.9875","0.990476190476191","1","1","2-5-4"
"53","1","1","1","1","1","2-6-1"
"54","0.985714285714286","0.966666666666667","0.983333333333333","1","1","2-6-2"
"55","0.985714285714286","0.974242424242424","0.980193236714976","1","1","2-6-3"
"56","0.992857142857143","0.9875","0.990476190476191","1","1","2-6-4"
"57","0.957142857142857","0.854761904761905","0.952484472049689","1","0.933333333333333","2-7-1"
"58","0.978571428571428","0.938888888888889","0.973612040133779","1","1","2-7-2"
"59","1","1","1","1","1","2-7-3"
"60","1","1","1","1","1","2-7-4"
"61","0.992857142857143","0.988888888888889","0.99","1","1","2-8-1"
"62","0.992857142857143","0.995238095238095","1","0.990476190476191","1","2-8-2"
"63","0.992857142857143","0.985714285714286","0.990909090909091","1","1","2-8-3"
"64","0.985714285714286","0.96","0.984","1","1","2-8-4"
"65","0.992857142857143","0.975","0.992","1","1","3-1-1"
"66","0.985714285714286","0.966666666666667","0.982608695652174","1","1","3-1-2"
"67","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-1-3"
"68","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","3-1-4"
"69","0.978571428571429","0.958333333333333","0.973122529644269","1","1","3-2-1"
"70","0.971428571428572","0.96","0.970426065162907","0.99","1","3-2-2"
"71","1","1","1","1","1","3-2-3"
"72","0.978571428571429","0.952380952380952","0.974242424242424","1","1","3-2-4"
"73","0.978571428571429","0.940714285714286","0.974575757575758","1","1","3-3-1"
"74","0.992857142857143","0.983333333333333","0.991304347826087","1","1","3-3-2"
"75","1","1","1","1","1","3-3-3"
"76","0.985714285714286","0.965714285714286","0.982575757575758","1","1","3-3-4"
"77","1","1","1","1","1","3-4-1"
"78","0.992857142857143","0.99","0.989473684210526","1","1","3-4-2"
"79","0.985714285714286","0.955","0.983666666666667","1","1","3-4-3"
"80","0.942857142857143","0.9","0.942857142857143","1","0.933333333333333","3-4-4"
"81","0.985714285714286","0.970833333333333","0.991666666666667","0.991666666666667","1","3-5-1"
"82","1","1","1","1","1","3-5-2"
"83","1","1","1","1","1","3-5-3"
"84","1","1","1","1","1","3-5-4"
"85","0.985714285714286","0.970833333333333","0.981780538302277","1","1","3-6-1"
"86","1","1","1","1","1","3-6-2"
"87","0.992857142857143","0.995833333333333","1","0.991666666666667","1","3-6-3"
"88","0.992857142857143","0.9875","0.990476190476191","1","1","3-6-4"
"89","0.921428571428571","0.9","0.921428571428571","1","0.933333333333333","3-7-1"
"90","1","1","1","1","1","3-7-2"
"91","0.992857142857143","0.995238095238095","1","0.990476190476191","1","3-7-3"
"92","1","1","1","1","1","3-7-4"
"93","1","1","1","1","1","3-8-1"
