"id","accuracy","auc","precision","recall","f1","layers"
"40","1","1","1","1","1","2-2-4"
"41","0.985714285714286","0.970833333333333","0.981780538302277","1","1","2-3-1"
"42","0.985714285714286","0.95","0.984615384615385","1","1","2-3-2"
"43","0.992857142857143","0.98","0.991666666666667","1","1","2-3-3"
"44","0.992857142857143","0.966666666666667","0.992307692307692","1","1","2-3-4"
"45","1","1","1","1","1","2-4-1"
"46","0.992857142857143","0.9875","0.990476190476191","1","1","2-4-2"
"47","0.978571428571428","0.975","0.968421052631579","1","1","2-4-3"
"48","1","1","1","1","1","2-4-4"
"49","0.992857142857143","0.9875","0.990476190476191","1","1","2-5-1"
"50","1","1","1","1","1","2-5-2"
"51","1","1","1","1","1","2-5-3"
"52","1","1","1","1","1","2-5-4"
"53","1","1","1","1","1","2-6-1"
"54","0.985714285714286","0.966666666666667","0.983333333333333","1","1","2-6-2"
"55","0.985714285714286","0.974242424242424","0.980193236714976","1","1","2-6-3"
"56","0.985714285714286","0.9625","0.982476190476191","1","1","2-6-4"
"57","0.957142857142857","0.857142857142857","0.953571428571429","1","0.933333333333333","2-7-1"
"58","0.985714285714286","0.95","0.983612040133779","1","1","2-7-2"
"59","1","1","1","1","1","2-7-3"
"60","0.992857142857143","0.966666666666667","0.992307692307692","1","1","2-7-4"
"61","0.985714285714286","0.972222222222222","0.981304347826087","1","1","2-8-1"
"62","1","1","1","1","1","2-8-2"
"63","1","1","1","1","1","2-8-3"
"64","0.992857142857143","0.98","0.991666666666667","1","1","2-8-4"
"65","0.971428571428572","0.9","0.971428571428572","1","0.933333333333333","3-1-1"
"66","0.985714285714286","0.966666666666667","0.982608695652174","1","1","3-1-2"
"67","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-1-3"
"68","1","1","1","1","1","3-1-4"
"69","0.978571428571429","0.979166666666667","0.990476190476191","0.983333333333333","1","3-2-1"
"70","1","1","1","1","1","3-2-2"
"71","1","1","1","1","1","3-2-3"
"72","0.971428571428572","0.933333333333333","0.966666666666667","1","1","3-2-4"
"73","0.985714285714286","0.960714285714286","0.982909090909091","1","1","3-3-1"
"74","0.985714285714286","0.966666666666667","0.983333333333333","1","1","3-3-2"
"75","1","1","1","1","1","3-3-3"
"76","0.985714285714286","0.965714285714286","0.982575757575758","1","1","3-3-4"
"77","1","1","1","1","1","3-4-1"
"78","0.992857142857143","0.99","0.989473684210526","1","1","3-4-2"
"79","0.985714285714286","0.955","0.983666666666667","1","1","3-4-3"
"80","1","1","1","1","1","3-4-4"
"81","0.992857142857143","0.995833333333333","1","0.991666666666667","1","3-5-1"
"82","0.992857142857143","0.975","0.992","1","1","3-5-2"
"83","0.992857142857143","0.983333333333333","0.991304347826087","1","1","3-5-3"
"84","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-5-4"
"85","1","1","1","1","1","3-6-1"
"86","1","1","1","1","1","3-6-2"
"87","1","1","1","1","1","3-6-3"
"88","1","1","1","1","1","3-6-4"
"89","0.992857142857143","0.9875","0.990476190476191","1","1","3-7-1"
"90","1","1","1","1","1","3-7-2"
"91","0.992857142857143","0.995238095238095","1","0.990476190476191","1","3-7-3"
"92","0.985714285714286","0.98","0.98","1","1","3-7-4"
"93","1","1","1","1","1","3-8-1"
"94","0.978571428571429","0.965277777777778","0.971428571428572","1","1","3-8-2"
"95","0.992857142857143","0.985714285714286","0.990909090909091","1","1","3-8-3"
"96","1","1","1","1","1","3-8-4"
"97","0.978571428571428","0.97","0.971428571428572","1","1","4-1-1"
"98","0.971428571428572","0.945833333333333","0.963598720120459","1","1","4-1-2"
"99","0.971428571428572","0.949404761904762","0.973809523809524","0.990476190476191","1","4-1-3"
"100","1","1","1","1","1","4-1-4"
"101","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-2-1"
"102","0.992857142857143","0.9875","0.990476190476191","1","1","4-2-2"
"103","0.992857142857143","0.985714285714286","0.990909090909091","1","1","4-2-3"
"104","0.992857142857143","0.9875","0.990476190476191","1","1","4-2-4"
"105","0.992857142857143","0.9875","0.990476190476191","1","1","4-3-1"
"106","1","1","1","1","1","4-3-2"
"107","1","1","1","1","1","4-3-3"
"108","1","1","1","1","1","4-3-4"
"109","0.957142857142857","0.919642857142857","0.948913043478261","1","1","4-4-1"
"110","0.985714285714286","0.975","0.981818181818182","1","1","4-4-2"
"111","0.985714285714286","0.978787878787879","0.991304347826087","0.990909090909091","1","4-4-3"
"112","1","1","1","1","1","4-4-4"
"113","0.978571428571429","0.961168831168831","0.982575757575758","0.990909090909091","1","4-5-1"
"114","1","1","1","1","1","4-5-2"
"115","0.992857142857143","0.983333333333333","0.991304347826087","1","1","4-5-3"
"116","0.992857142857143","0.975","0.992","1","1","4-5-4"
"117","0.971428571428572","0.935","0.965818181818182","1","1","4-6-1"
"118","0.992857142857143","0.98","0.991666666666667","1","1","4-6-2"
"119","0.992857142857143","0.990909090909091","0.988888888888889","1","1","4-6-3"
"120","0.985714285714286","0.975","0.981818181818182","1","1","4-6-4"
"121","0.978571428571428","0.972514619883041","0.98","0.989473684210526","1","4-7-1"
"122","0.992857142857143","0.988888888888889","0.99","1","1","4-7-2"
"123","1","1","1","1","1","4-7-3"
"124","0.985714285714286","0.970833333333333","0.981780538302277","1","1","4-7-4"
"125","0.935714285714286","0.9","0.935714285714286","1","0.933333333333333","4-8-1"
"126","0.992857142857143","0.9875","0.990476190476191","1","1","4-8-2"
"127","1","1","1","1","1","4-8-3"
"128","0.992857142857143","0.98","0.991666666666667","1","1","4-8-4"
"129","0.978571428571428","0.958625730994152","0.981473684210526","0.989473684210526","1","5-1-1"
"130","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-1-2"
"131","0.971428571428572","0.932142857142857","0.967","1","1","5-1-3"
"132","1","1","1","1","1","5-1-4"
"133","0.971428571428572","0.963095238095238","0.982608695652174","0.983333333333333","1","5-2-1"
"134","0.95","0.876623376623377","0.944083694083694","1","0.933333333333333","5-2-2"
"135","0.992857142857143","0.988888888888889","0.99","1","1","5-2-3"
"136","1","1","1","1","1","5-2-4"
"137","0.985714285714286","0.977777777777778","0.980952380952381","1","1","5-3-1"
"138","0.985714285714286","0.98","0.98","1","1","5-3-2"
"139","0.985714285714286","0.971428571428572","0.982608695652174","1","1","5-3-3"
"140","1","1","1","1","1","5-3-4"
"141","0.992857142857143","0.983333333333333","0.991304347826087","1","1","5-4-1"
"142","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-4-2"
"143","1","1","1","1","1","5-4-3"
"144","0.992857142857143","0.9875","0.990476190476191","1","1","5-4-4"
