"","accuracy","auc","precision","recall","f1","V1"
"131","0.978571428571429","0.950833333333333","0.973447204968944","1","1","5-1-3"
"132","0.95","0.891666666666667","0.945378151260504","1","0.933333333333333","5-1-4"
"133","0.935714285714286","0.866287878787879","0.938528138528138","0.990909090909091","0.933333333333333","5-2-1"
"134","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-2-2"
"135","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-2-3"
"136","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-2-4"
"137","0.992857142857143","0.988888888888889","0.99","1","1","5-3-1"
"138","0.985714285714286","0.954166666666667","0.982783882783883","1","1","5-3-2"
"139","1","1","1","1","1","5-3-3"
"140","0.992857142857143","0.975","0.992","1","1","5-3-4"
"141","1","1","1","1","1","5-4-1"
"142","0.985714285714286","0.97","0.992","0.99","1","5-4-2"
"143","0.985714285714286","0.975652173913043","0.991304347826087","0.991304347826087","1","5-4-3"
"144","0.978571428571428","0.966666666666667","0.981818181818182","0.990476190476191","1","5-4-4"
"145","0.971428571428572","0.935","0.965818181818182","1","1","5-5-1"
"146","0.978571428571429","0.948333333333333","0.972778032036613","1","1","5-5-2"
"147","1","1","1","1","1","5-5-3"
"148","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-5-4"
"149","0.957142857142857","0.9","0.957142857142857","1","0.933333333333333","5-6-1"
"150","0.985714285714286","0.960714285714286","0.982909090909091","1","1","5-6-2"
"151","0.971428571428572","0.955555555555555","0.965217391304348","1","1","5-6-3"
"152","1","1","1","1","1","5-6-4"
"153","1","1","1","1","1","5-7-1"
"154","0.971428571428571","0.962121212121212","0.972727272727273","0.990909090909091","1","5-7-2"
"155","0.985714285714286","0.978888888888889","0.979473684210526","1","1","5-7-3"
"156","0.992857142857143","0.983333333333333","0.991304347826087","1","1","5-7-4"
"157","1","1","1","1","1","5-8-1"
"158","0.992857142857143","0.995652173913044","1","0.991304347826087","1","5-8-2"
"159","0.978571428571429","0.972727272727273","0.97","1","1","5-8-3"
"160","0.992857142857143","0.995454545454545","1","0.990909090909091","1","5-8-4"
"161","0.985714285714286","0.963888888888889","0.982","1","1","6-1-1"
"162","0.971428571428571","0.952380952380952","0.973517786561265","0.990476190476191","1","6-1-2"
"163","0.985714285714286","0.975454545454545","0.991666666666667","0.990909090909091","1","6-1-3"
"164","0.928571428571429","0.82031746031746","0.920227743271221","1","0.933333333333333","6-1-4"
"165","0.978571428571429","0.946666666666667","0.974275362318841","1","1","6-2-1"
"166","0.978571428571429","0.951428571428571","0.974275362318841","1","1","6-2-2"
"167","0.978571428571428","0.924242424242424","0.974074074074074","1","1","6-2-3"
"168","0.971428571428572","0.944502164502165","0.973484848484848","0.990909090909091","1","6-2-4"
"169","0.978571428571429","0.95","0.972952380952381","1","1","6-3-1"
"170","0.978571428571429","0.9707410236822","0.979144385026738","0.988235294117647","1","6-3-2"
"171","1","1","1","1","1","6-3-3"
"172","1","1","1","1","1","6-3-4"
"173","0.914285714285714","0.8375","0.911640211640212","1","0.933333333333333","6-4-1"
"174","0.985714285714286","0.970833333333333","0.981780538302277","1","1","6-4-2"
"175","0.992857142857143","0.990909090909091","0.988888888888889","1","1","6-4-3"
"176","0.985714285714286","0.968888888888889","0.981666666666667","1","1","6-4-4"
"177","0.985714285714286","0.981818181818182","0.978947368421053","1","1","6-5-1"
"178","0.985714285714286","0.965909090909091","0.980888888888889","1","1","6-5-2"
"179","0.992857142857143","0.983333333333333","0.991304347826087","1","1","6-5-3"
"180","0.985714285714286","0.966666666666667","0.982608695652174","1","1","6-5-4"
"181","0.95","0.885185185185185","0.954285714285714","0.992592592592593","0.933333333333333","6-6-1"
"182","0.992857142857143","0.98","0.991666666666667","1","1","6-6-2"
"183","0.985714285714286","0.98","0.98","1","1","6-6-3"
"184","0.985714285714286","0.975","0.981818181818182","1","1","6-6-4"
"185","0.992857142857143","0.975","0.992","1","1","6-7-1"
"186","0.985714285714286","0.969047619047619","0.982213438735178","1","1","6-7-2"
"187","0.992857142857143","0.9875","0.990476190476191","1","1","6-7-3"
"188","0.992857142857143","0.975","0.992","1","1","6-7-4"
"189","0.985714285714286","0.975","0.981818181818182","1","1","6-8-1"
"190","0.992857142857143","0.9875","0.990476190476191","1","1","6-8-2"
"191","0.978571428571429","0.96031746031746","0.972608695652174","1","1","6-8-3"
"192","1","NaN","1","1","1","6-8-4"
"193","0.985714285714286","0.971428571428571","0.982608695652174","1","1","7-1-1"
"194","0.964285714285714","0.948380952380952","0.963636363636364","0.992","1","7-1-2"
"195","1","1","1","1","1","7-1-3"
"196","0.978571428571429","0.951428571428571","0.974275362318841","1","1","7-1-4"
"197","0.978571428571428","0.972514619883041","0.980952380952381","0.989473684210526","1","7-2-1"
"198","0.985714285714286","0.970833333333333","0.981780538302277","1","1","7-2-2"
"199","0.992857142857143","0.9875","0.990476190476191","1","1","7-2-3"
"200","0.978571428571429","0.977199792960663","0.990909090909091","0.982971014492753","1","7-2-4"
