"","accuracy","auc","precision","recall","f1","V1"
"1","0.8","0.679166666666667","0.849350649350649","0.908333333333333","0.874420542342069","1-1"
"2","0.792857142857143","0.67521645021645","0.848203463203463","0.9004329004329","0.871043702954724","1-2"
"3","0.785714285714286","0.737193173975783","0.875113871635611","0.840100633665851","0.855547298230225","1-3"
"4","0.75","0.664361636964612","0.851717300886099","0.815945496151446","0.829185481451902","1-4"
"5","0.757142857142857","0.611047619047619","0.826030052327535","0.869714285714286","0.845079573568441","1-5"
"6","0.785714285714286","0.613050379572119","0.832375350140056","0.903243616287095","0.861188977059268","1-6"
"7","0.785714285714286","0.695928853754941","0.872608068260242","0.853762469414643","0.861316750881968","1-7"
"8","0.814285714285714","0.710378787878788","0.868936063936064","0.899090909090909","0.881382404970445","1-8"
"9","0.742857142857143","0.652876592007027","0.840675324675325","0.839086517347387","0.834225980737609","2-1"
"10","0.735714285714286","0.68462215320911","0.870025252525253","0.794958592132505","0.823192776216032","2-2"
"11","0.728571428571429","0.623555900621118","0.823369689044746","0.809016563146998","0.81181136059952","2-3"
"12","0.792857142857143","0.632142857142857","0.844323308270677","0.896428571428572","0.866849072336877","2-4"
"13","0.778571428571428","0.67245670995671","0.860817805383023","0.852056277056277","0.856145954316686","2-5"
"14","0.75","0.686132034632035","0.872656346749226","0.800835497835498","0.828801441890017","2-6"
"15","0.757142857142857","0.696537267080745","0.873188405797102","0.808074534161491","0.837521406258905","2-7"
"16","0.757142857142857","0.653937982307548","0.84537037037037","0.857161678900809","0.844216245687332","2-8"
"17","0.742857142857143","0.667987012987013","0.853912052859421","0.807402597402597","0.828950348770813","3-1"
"18","0.685714285714286","0.5955","0.813530037214248","0.782666666666667","0.791659637969041","3-2"
"19","0.728571428571429","0.573579683728425","0.818286544373501","0.842080002377485","0.82688443743651","3-3"
"20","0.792857142857143","0.708727401507722","0.86506681724073","0.873169088729729","0.866666666666667","3-4"
"21","0.75","0.634855765896956","0.8375670995671","0.846378198460578","0.839376374473507","3-5"
"22","0.657142857142857","0.538644833427442","0.791286780851998","0.749670619235837","0.769239668073178","3-6"
"23","0.7","0.672434123847167","0.869261388766033","0.72558253340862","0.788793211816468","3-7"
"24","0.807142857142857","0.702021927348014","0.868112177677395","0.891424807076981","0.87814575437824","3-8"
"25","0.75","0.614242424242424","0.837616714420322","0.853484848484849","0.838471631686406","4-1"
