"","accuracy","auc","precision","sensitivity","specificity","f1","V1"
"1","0.785057471264368","0.680735930735931","0.858181818181818","0.870995670995671","0.49047619047619","0.863417235906103","Type: C-classification Kernel: linear"
"2","0.771565407772304","0.514935064935065","0.785396825396825","0.972727272727273","0.0571428571428571","0.868641337386018","Type: C-classification Kernel: polynomial"
"3","0.829237365444262","0.640692640692641","0.832830913603028","0.981385281385281","0.3","0.899901067146226","Type: C-classification Kernel: radial"
"4","0.792483123517606","0.615367965367965","0.824840738971174","0.935497835497835","0.295238095238095","0.875444444444444","Type: C-classification Kernel: sigmoid"
"5","0.743486590038314","0.641558441558442","0.84381483818824","0.825974025974026","0.457142857142857","0.831915041480259","Type: nu-classification Kernel: linear"
"6","0.821829958036855","0.624242424242424","0.825160035366932","0.981818181818182","0.266666666666667","0.895752843227948","Type: nu-classification Kernel: polynomial"
"7","0.836170406860062","0.706277056277056","0.866545049153745","0.936363636363636","0.476190476190476","0.899418093983311","Type: nu-classification Kernel: radial"
"8","0.270306513409962","0.323593073593074","0.560606060606061","0.228138528138528","0.419047619047619","0.316323274764451","Type: nu-classification Kernel: sigmoid"
"9","0.520680532749498","0.486580086580087","0.771969696969697","0.549350649350649","0.423809523809524","0.637149461491567","Type: one-classification Kernel: linear"
"10","0.249087757708447","0.447835497835498","0.566666666666667","0.0909090909090909","0.804761904761905","NaN","Type: one-classification Kernel: polynomial"
"11","0.571702244116037","0.519264069264069","0.793087375300997","0.614718614718615","0.423809523809524","0.691336432709989","Type: one-classification Kernel: radial"
"12","0.72893632548805","0.523809523809524","0.789559812168508","0.890476190476191","0.157142857142857","0.835490466979829","Type: one-classification Kernel: sigmoid"
