"","accuracy","auc","precision","sensitivity","specificity","f1","V1"
"1","0.856540777230432","0.755844155844156","0.888553359683794","0.935497835497835","0.576190476190476","0.910844616376531","Type: C-classification Kernel: linear"
"2","0.786380222587119","0.565151515151515","0.803866995073892","0.963636363636364","0.166666666666667","0.875468538571765","Type: C-classification Kernel: polynomial"
"3","0.793523079729976","0.637445887445887","0.834682274247492","0.917748917748918","0.357142857142857","0.872269043013724","Type: C-classification Kernel: radial"
"4","0.857316183178252","0.726839826839827","0.869694188259406","0.963203463203463","0.490476190476191","0.913070938576423","Type: C-classification Kernel: sigmoid"
"5","0.558511220580186","0.586580086580087","0.843333333333333","0.535064935064935","0.638095238095238","0.635550908776061","Type: nu-classification Kernel: linear"
"6","0.618409049443532","0.670562770562771","0.895982905982906","0.583982683982684","0.757142857142857","0.666585594811401","Type: nu-classification Kernel: polynomial"
"7","0.744015690567415","0.753246753246753","0.924561403508772","0.735064935064935","0.771428571428571","0.814433039311088","Type: nu-classification Kernel: radial"
"8","0.335841999635103","0.326623376623377","0.568764568764569","0.338961038961039","0.314285714285714","0.403831168831169","Type: nu-classification Kernel: sigmoid"
"9","0.416018974639664","0.512770562770563","0.788888888888889","0.33982683982684","0.685714285714286","0.473153176732317","Type: one-classification Kernel: linear"
"10","0.492072614486408","0.536147186147186","0.807954545454545","0.458008658008658","0.614285714285714","0.575156281508369","Type: one-classification Kernel: polynomial"
"11","0.670470717022441","0.585281385281385","0.82108950182944","0.741991341991342","0.428571428571429","0.774737487678246","Type: one-classification Kernel: radial"
"12","0.715124977193943","0.609090909090909","0.832116959064327","0.799134199134199","0.419047619047619","0.810837751855779","Type: one-classification Kernel: sigmoid"
