"","accuracy","auc","precision","sensitivity","specificity","f1","V1"
"1","0.821091041780697","0.711255411255411","0.867885375494071","0.908225108225108","0.514285714285714","0.887433689779494","Type: C-classification Kernel: linear"
"2","0.77869002006933","0.555627705627706","0.799643874643875","0.954112554112554","0.157142857142857","0.869613830731182","Type: C-classification Kernel: polynomial"
"3","0.821428571428571","0.640692640692641","0.835075517075517","0.962337662337662","0.319047619047619","0.893061449281216","Type: C-classification Kernel: radial"
"4","0.822605363984674","0.701731601731602","0.862367588932806","0.917748917748918","0.485714285714286","0.888792752949541","Type: C-classification Kernel: sigmoid"
"5","0.592857142857143","0.623809523809524","0.825420168067227","0.571428571428571","0.676190476190476","0.655456809628825","Type: nu-classification Kernel: linear"
"6","0.621054552089035","0.634415584415584","0.855714285714286","0.616450216450216","0.652380952380952","0.684010946259091","Type: nu-classification Kernel: polynomial"
"7","0.700328407224959","0.643073593073593","0.858333333333333","0.743290043290043","0.542857142857143","0.791855492820498","Type: nu-classification Kernel: radial"
"8","0.200091224229155","0.268831168831169","0.458174603174603","0.147186147186147","0.39047619047619","0.220992519613209","Type: nu-classification Kernel: sigmoid"
"9","0.34428936325488","0.433116883116883","0.693333333333333","0.275757575757576","0.59047619047619","0.392411674347158","Type: one-classification Kernel: linear"
"10","0.40709724502828","0.471645021645022","0.760510600510601","0.357575757575758","0.585714285714286","0.475651755651756","Type: one-classification Kernel: polynomial"
"11","0.635550082101806","0.546103896103896","0.811654135338346","0.706493506493507","0.385714285714286","0.749537238158412","Type: one-classification Kernel: radial"
"12","0.677422003284072","0.532683982683983","0.797575130183826","0.789177489177489","0.276190476190476","0.791405460060667","Type: one-classification Kernel: sigmoid"
