"","accuracy","auc","precision","recall","specificity","f1","V1"
"1","0.821428571428571","0.696792063861118","0.870200270743749","0.901462915601023","0.492121212121212","0.881666500592332","1-1-1"
"2","0.757142857142857","0.593333333333333","0.811688311688312","0.911666666666667","0.275","0.851040880120164","1-1-2"
"3","0.778571428571429","0.760626293995859","0.895202399939242","0.819824016563147","0.701428571428572","0.85048569316862","1-1-3"
"4","0.75","0.638136645962733","0.852103724785109","0.824844720496894","0.451428571428571","0.832868803023602","1-1-4"
"5","0.8","0.723734236777715","0.881818181818182","0.871277997364954","0.576190476190476","0.868159181202659","1-1-5"
"6","0.757142857142857","0.657608695652174","0.84823967032205","0.848788819875776","0.466428571428571","0.844355179704017","1-1-6"
"7","0.785714285714286","0.694776491624318","0.868838763575606","0.863124411820064","0.526428571428571","0.862158167036216","1-1-7"
"8","0.8","0.715649920255183","0.865491812535291","0.881299840510367","0.55","0.870167403387857","1-1-8"
"9","0.757142857142857","0.691337285902503","0.870622009569378","0.81600790513834","0.566666666666667","0.838214763959445","1-1-9"
"10","0.778571428571429","0.700845410628019","0.8640027605245","0.841690821256039","0.56","0.851014059972626","1-1-10"
"11","0.792857142857143","0.672942028985507","0.865106034316561","0.8715983436853","0.474285714285714","0.86547337173409","1-1-11"
"12","0.8","0.720894310367995","0.865106951871658","0.876709255656624","0.565079365079365","0.868910459498933","1-1-12"
"13","0.757142857142857","0.636399585921325","0.82526455026455","0.907084886128364","0.365714285714286","0.852311836824454","1-1-13"
"14","0.778571428571429","0.648460850743459","0.843506493506493","0.878112177677395","0.418809523809524","0.858502160554144","1-1-14"
"15","0.735714285714286","0.533928571428571","0.79047619047619","0.910714285714286","0.157142857142857","0.840126984126984","1-1-15"
"16","0.8","0.709430460208492","0.868609022556391","0.867749809305873","0.551111111111111","0.867623314785525","1-2-1"
"17","0.757142857142857","0.678983253588517","0.86522305764411","0.816299840510367","0.541666666666667","0.837405969343584","1-2-2"
