"","accuracy","auc","precision","recall","specificity","f1","V1"
"1","0.778571428571429","0.724378411443629","0.88264221158958","0.824709203839639","0.624047619047619","0.850207038549443","1-1-1"
"2","0.75","0.669130434782609","0.85772514619883","0.818260869565217","0.52","0.831957665783083","1-1-2"
"3","0.735714285714286","0.668831168831169","0.858658768132452","0.79004329004329","0.547619047619048","0.821468276476785","1-1-3"
"4","0.735714285714286","0.647816207184628","0.848183515830575","0.79880701754386","0.496825396825397","0.819125266058254","1-1-4"
"5","0.792857142857143","0.64952380952381","0.854754821837202","0.888333333333333","0.410714285714286","0.868443773425422","1-1-5"
"6","0.792857142857143","0.740051759834369","0.885108225108225","0.845103519668737","0.635","0.863194402496728","1-1-6"
"7","0.742857142857143","0.611862041467305","0.82748290356986","0.85467646388699","0.369047619047619","0.834758116106753","1-1-7"
"8","0.771428571428571","0.672334274421231","0.866068580542265","0.841291925465839","0.503376623376623","0.848205128205128","1-1-8"
"9","0.778571428571429","0.6942913608131","0.868624738432923","0.841916054959533","0.546666666666667","0.852852914076383","1-1-9"
"10","0.714285714285714","0.602445998445998","0.833145577071408","0.791558663558664","0.413333333333333","0.804708817752296","1-1-10"
"11","0.75","0.630443229285335","0.837698412698413","0.830727728411939","0.43015873015873","0.833596180526702","1-1-11"
"12","0.764285714285714","0.709030208921513","0.883528428093645","0.810203274985884","0.607857142857143","0.835444271463991","1-1-12"
"13","0.792857142857143","0.654348296630905","0.847164502164502","0.899410878976096","0.409285714285714","0.869546155319069","1-1-13"
"14","0.742857142857143","0.640553359683794","0.84384126984127","0.841106719367589","0.44","0.835166779853665","1-1-14"
"15","0.771428571428572","0.63267316017316","0.83820979020979","0.880822510822511","0.384523809523809","0.856817632402569","1-1-15"
"16","0.707142857142857","0.591835345940609","0.822698412698413","0.786845295055821","0.396825396825397","0.803563214194443","1-2-1"
"17","0.7","0.63348051948052","0.834150873281308","0.802025974025974","0.464935064935065","0.803340380549683","1-2-2"
"18","0.792857142857143","0.670978170062838","0.86372006940428","0.872115070284407","0.46984126984127","0.865511994271393","1-2-3"
"19","0.75","0.722012164249006","0.862878787878788","0.811087820561505","0.632936507936508","0.830328434326234","1-2-4"
"20","0.807142857142857","0.70364844093105","0.880394436481393","0.870630215195433","0.536666666666667","0.87438961038961","1-2-5"
"21","0.764285714285714","0.68626009256444","0.869575024517816","0.819186851795548","0.553333333333333","0.841875381174849","1-2-6"
"22","0.757142857142857","0.73811801242236","0.88280701754386","0.801950310559006","0.674285714285714","0.836152661858844","1-2-7"
"23","0.721428571428571","0.641051759834369","0.843788294265075","0.786865424430642","0.495238095238095","0.810867988623297","1-2-8"
"24","0.742857142857143","0.63947177726926","0.844469127363864","0.812276887871853","0.466666666666667","0.827817241238294","1-2-9"
"25","0.75","0.672743741765481","0.856173041298899","0.817154150197628","0.528333333333333","0.833346075118992","1-2-10"
"26","0.785714285714286","0.605530303030303","0.828690874343048","0.91939393939394","0.291666666666667","0.869016611284903","1-2-11"
"27","0.8","0.749827075098814","0.879448522492001","0.866320816864295","0.633333333333333","0.867209771689055","1-2-12"
"28","0.757142857142857","0.64360248447205","0.841561596298438","0.866252587991718","0.420952380952381","0.845421764848878","1-2-13"
"29","0.785714285714286","0.72644655116051","0.880133139172041","0.843369292797211","0.609523809523809","0.858740763184029","1-2-14"
"30","0.764285714285714","0.679250208855472","0.855334399899617","0.848182957393484","0.51031746031746","0.846524876090094","1-2-15"
"31","0.771428571428571","0.685851882671105","0.866877104377105","0.831703765342209","0.54","0.843856785877692","1-3-1"
"32","0.778571428571429","0.672972625413802","0.855738705738706","0.867806722689076","0.478138528138528","0.85515574650913","1-3-2"
"33","0.75","0.70813768115942","0.886141636141636","0.774608695652174","0.641666666666667","0.819743325336072","1-3-3"
"34","0.785714285714286","0.668329664741564","0.848492753623188","0.894119646943446","0.442539682539683","0.865885600187926","1-3-4"
"35","0.8","0.713351966873706","0.866765173804075","0.880513457556936","0.546190476190476","0.870684576410982","1-3-5"
"36","0.8","0.704588430892779","0.8631814579183","0.90219273480143","0.506984126984127","0.875158102766799","1-3-6"
"37","0.75","0.645283399539692","0.839855072463768","0.830725529238115","0.45984126984127","0.834028005091835","1-3-7"
"38","0.728571428571429","0.684720779220779","0.866984126984127","0.773012987012987","0.596428571428571","0.814756687521413","1-3-8"
"39","0.757142857142857","0.594611619628782","0.822174457121825","0.878112128146453","0.311111111111111","0.846956158512223","1-3-9"
"40","0.757142857142857","0.628478260869565","0.837794089968003","0.85695652173913","0.4","0.845741628330102","1-3-10"
