"","accuracy","auc","precision","sensitivity","specificity","f1","V1"
"1","0.8","0.730376435159044","0.886071645110547","0.86265763222285","0.598095238095238","0.869808725553406","1-1"
"2","0.778571428571429","0.686318681318681","0.860130811217768","0.838351648351648","0.534285714285714","0.847262271541579","1-2"
"3","0.792857142857143","0.671932712215321","0.846000762776506","0.898389233954451","0.44547619047619","0.868572641988791","1-3"
"4","0.792857142857143","0.633333333333333","0.846042320850505","0.895238095238095","0.371428571428571","0.865835373875383","1-4"
"5","0.75","0.606178780284043","0.82447619047619","0.87584962406015","0.336507936507936","0.842348090392494","1-5"
"6","0.792857142857143","0.710003293807641","0.877594896331738","0.85167325428195","0.568333333333333","0.862161898252124","1-6"
"7","0.792857142857143","0.656612810022421","0.84780701754386","0.897670064489287","0.415555555555556","0.868342467421751","1-7"
"8","0.778571428571429","0.683058733790999","0.866151821862348","0.837784134248665","0.528333333333333","0.848326435469293","1-8"
"9","0.742857142857143","0.700492753623188","0.883680428693216","0.78431884057971","0.616666666666667","0.825633348952296","1-9"
"10","0.742857142857143","0.610105872388481","0.824852778800147","0.839497459062676","0.380714285714286","0.831042513717286","1-10"
"11","0.764285714285714","0.700954106280193","0.859884057971015","0.856193926846101","0.545714285714286","0.849473814985938","1-11"
"12","0.735714285714286","0.65924419338607","0.847456140350877","0.794043942327695","0.524444444444444","0.818547908232119","1-12"
"13","0.728571428571429","0.605380638684986","0.823160173160173","0.823142229750925","0.387619047619048","0.821882879025736","1-13"
"14","0.75","0.686169772256729","0.863949579831933","0.806625258799172","0.565714285714286","0.831322312007315","1-14"
"15","0.792857142857143","0.669426877470356","0.858074534161491","0.878853754940711","0.46","0.865545617173524","1-15"
"16","0.692857142857143","0.608595238095238","0.816666666666667","0.817190476190476","0.4","0.803459233602727","2-1"
"17","0.75","0.665972143798231","0.848742786625139","0.810991906644081","0.520952380952381","0.820869751166176","2-2"
"18","0.721428571428571","0.624235209235209","0.832215519034741","0.811327561327561","0.437142857142857","0.817283331726598","2-3"
"19","0.778571428571429","0.675180754917597","0.85467720685112","0.864250398724083","0.486111111111111","0.857705182539853","2-4"
"20","0.742857142857143","0.680258328627894","0.869449869016433","0.800278562017692","0.560238095238095","0.827764516532453","2-5"
"21","0.742857142857143","0.597643432867218","0.834143619919364","0.841910242357813","0.353376623376623","0.834028448269308","2-6"
"22","0.707142857142857","0.626088744588745","0.832541380188439","0.779558441558442","0.472619047619048","0.802833635109736","2-7"
"23","0.75","0.620942028985507","0.835","0.841884057971015","0.4","0.838368794326241","2-8"
"24","0.735714285714286","0.603415967454869","0.817958273610447","0.855720823798627","0.351111111111111","0.831095540118796","2-9"
"25","0.714285714285714","0.650946836788942","0.841516290726817","0.796338118022329","0.505555555555556","0.811248441481","2-10"
"26","0.714285714285714","0.55031479390175","0.799538461538461","0.843724825898739","0.256904761904762","0.818881506090808","2-11"
"27","0.735714285714286","0.580097402597403","0.817599067599068","0.861147186147186","0.299047619047619","0.833550724637681","2-12"
"28","0.671428571428571","0.580715226802183","0.819369198688421","0.753811405985319","0.407619047619048","0.780464202086437","2-13"
"29","0.728571428571429","0.668135300372142","0.854285714285714","0.79182615629984","0.544444444444444","0.819390919158361","2-14"
"30","0.75","0.687272727272727","0.870354572328257","0.794545454545455","0.58","0.826313778937255","2-15"
"31","0.75","0.629851778656126","0.836645962732919","0.844703557312253","0.415","0.840053693076949","3-1"
"32","0.664285714285714","0.484512077294686","0.778385093167702","0.789024154589372","0.18","0.779514799724656","3-2"
"33","0.771428571428571","0.663796348578957","0.849412698412698","0.848545078110295","0.479047619047619","0.848074106592557","3-3"
"34","0.764285714285714","0.639537711208192","0.853968253968254","0.843519866860828","0.435555555555556","0.848282225818099","3-4"
"35","0.764285714285714","0.652792207792208","0.847239234449761","0.857965367965368","0.447619047619048","0.848006634198155","3-5"
"36","0.742857142857143","0.653454106280193","0.842125603864734","0.826908212560387","0.48","0.829641930461858","3-6"
"37","0.714285714285714","0.603519323671498","0.83631746031746","0.792038647342995","0.415","0.808395247029393","3-7"
"38","0.764285714285714","0.648867623604466","0.83951966873706","0.864401913875598","0.433333333333333","0.848399514844698","3-8"
"39","0.75","0.613478673627415","0.832318477352802","0.840131950429433","0.386825396825397","0.834997109989675","3-9"
"40","0.707142857142857","0.579511203899076","0.810050818746471","0.81711764589339","0.341904761904762","0.811584482771935","3-10"
"41","0.792857142857143","0.740113871635611","0.881806556614741","0.853084886128364","0.627142857142857","0.862702163995336","3-11"
"42","0.714285714285714","0.624062998405104","0.830074659639877","0.798125996810207","0.45","0.81054501054501","3-12"
"43","0.778571428571429","0.705483785220627","0.881761221234905","0.833189792663477","0.577777777777778","0.853594080338267","3-13"
"44","0.7","0.655402235699719","0.832954545454546","0.795248915843882","0.515555555555556","0.801582856491239","3-14"
"45","0.742857142857143","0.643863636363636","0.832687747035573","0.84534632034632","0.442380952380952","0.834597941236329","3-15"
"46","0.807142857142857","0.701768398268398","0.888957431457431","0.859489177489177","0.544047619047619","0.870327772313025","4-1"
"47","0.757142857142857","0.638842371079213","0.839172783738001","0.855462519936204","0.422222222222222","0.845179576972716","4-2"
"48","0.75","0.665963203463203","0.86905432029271","0.797402597402597","0.53452380952381","0.829469219177318","4-3"
"49","0.764285714285714","0.624189604445897","0.84538961038961","0.852188732701319","0.396190476190476","0.847186316751534","4-4"
"50","0.692857142857143","0.57666149068323","0.80578947368421","0.795465838509317","0.357857142857143","0.796589833382973","4-5"
"51","0.735714285714286","0.678484510023411","0.854299516908213","0.797603940681744","0.559365079365079","0.822288719032905","4-6"
"52","0.771428571428571","0.655970360684319","0.853671451355662","0.85289310232102","0.459047619047619","0.851313774292237","4-7"
"53","0.7","0.576188197767145","0.814135140222097","0.785709728867624","0.366666666666667","0.798901677542051","4-8"
"54","0.692857142857143","0.657343120647468","0.844985994397759","0.742305288913985","0.572380952380952","0.786533776301218","4-9"
"55","0.771428571428571","0.67321906354515","0.84897233201581","0.854130434782609","0.492307692307692","0.847874542971675","4-10"
"56","0.664285714285714","0.563906926406926","0.809164941338854","0.751623376623377","0.376190476190476","0.777288241474288","4-11"
"57","0.764285714285714","0.655411255411255","0.845761904761905","0.853679653679654","0.457142857142857","0.84737431571672","4-12"
"58","0.757142857142857","0.707541835828281","0.857865497076023","0.811707048279938","0.603376623376623","0.832532928064843","4-13"
"59","0.685714285714286","0.568521080368906","0.804584980237154","0.788232636928289","0.348809523809524","0.794732349014822","4-14"
"60","0.771428571428571","0.676893065998329","0.863014056881334","0.844659147869674","0.509126984126984","0.851479948622806","4-15"
"61","0.75","0.62666149068323","0.832958132045089","0.861894409937888","0.391428571428571","0.839602970222767","5-1"
"62","0.714285714285714","0.632579847053531","0.820990965556183","0.820715249662618","0.444444444444444","0.814267951963852","5-2"
"63","0.7","0.560810161107644","0.799849425936383","0.812731433326399","0.308888888888889","0.805465291209972","5-3"
"64","0.721428571428572","0.605205314009662","0.820137398833051","0.825410628019324","0.385","0.819164818920916","5-4"
"65","0.764285714285714","0.689960317460317","0.861047876608517","0.842619047619048","0.537301587301587","0.846338292647696","5-5"
"66","0.678571428571429","0.569199521705916","0.816832991569834","0.771775666788455","0.366623376623377","0.78764198554329","5-6"
"67","0.685714285714286","0.518897994327056","0.786412710096921","0.803669004527128","0.234126984126984","0.793653557554148","5-7"
"68","0.735714285714286","0.648471445221445","0.865632832080201","0.780276223776224","0.516666666666667","0.817927549194991","5-8"
"69","0.75","0.657012987012987","0.840969023348886","0.831883116883117","0.482142857142857","0.835467877813682","5-9"
"70","0.728571428571429","0.650006587615283","0.853139469226426","0.790489365706757","0.50952380952381","0.815691801738313","5-10"
"71","0.742857142857143","0.628507575757576","0.839481774264383","0.840348484848485","0.416666666666667","0.832695283439964","5-11"
"72","0.721428571428572","0.597722567287785","0.817312252964427","0.824016563146998","0.371428571428571","0.820068718455362","5-12"
"73","0.714285714285714","0.635602519143709","0.845207039337474","0.781681228763609","0.489523809523809","0.807686127686128","5-13"
"74","0.692857142857143","0.599651515151515","0.824538619275461","0.77430303030303","0.425","0.795167464114833","5-14"
"75","0.714285714285714","0.627996423865989","0.838796992481203","0.791707133446264","0.464285714285714","0.811128708689684","5-15"
"76","0.721428571428571","0.615691699604743","0.847179487179487","0.784716732542819","0.446666666666667","0.80250552495828","6-1"
"77","0.75","0.62831915922877","0.837380952380952","0.84647958829881","0.41015873015873","0.839622985709942","6-2"
"78","0.721428571428571","0.580009787314135","0.82031746031746","0.836210050818746","0.323809523809524","0.821835121400339","6-3"
"79","0.728571428571429","0.651366930171278","0.850151515151515","0.784876717485413","0.517857142857143","0.812850388382303","6-4"
"80","0.721428571428572","0.620779220779221","0.836860916860917","0.808225108225108","0.433333333333333","0.818282214239661","6-5"
"81","0.7","0.641010356919968","0.844891640866873","0.764877856697079","0.517142857142857","0.797651356017777","6-6"
"82","0.757142857142857","0.661765480895916","0.848564593301435","0.850197628458498","0.473333333333333","0.844069264069264","6-7"
"83","0.735714285714286","0.650923677771504","0.84621534072335","0.805894974590627","0.495952380952381","0.824224664224664","6-8"
"84","0.728571428571429","0.613307453416149","0.823823953823954","0.83804347826087","0.388571428571429","0.824755696499883","6-9"
"85","0.707142857142857","0.617965838509317","0.829780412823891","0.777360248447205","0.458571428571429","0.797573443105358","6-10"
"86","0.742857142857143","0.662221908526256","0.86205289808231","0.793015245623941","0.531428571428571","0.822463672629786","6-11"
"87","0.764285714285714","0.650928044749555","0.854507936507937","0.84153862918165","0.46031746031746","0.846145166889848","6-12"
"88","0.614285714285714","0.488452380952381","0.78747041623667","0.687619047619048","0.289285714285714","0.728091636787289","6-13"
"89","0.7","0.579489558877431","0.812380952380952","0.798502927278671","0.36047619047619","0.80385463481964","6-14"
"90","0.757142857142857","0.702075569358178","0.869574694311536","0.809151138716356","0.595","0.835615421321604","6-15"
"91","0.785714285714286","0.656666666666667","0.847587761674718","0.89","0.423333333333333","0.864634920634921","7-1"
"92","0.692857142857143","0.595694308234354","0.820424462691255","0.792023537103629","0.399365079365079","0.798767568797902","7-2"
"93","0.757142857142857","0.625258075258075","0.825197767145136","0.874542124542124","0.375974025974026","0.842938459104572","7-3"
"94","0.75","0.604825994498763","0.8367426438296","0.858540877886416","0.351111111111111","0.841809121111447","7-4"
"95","0.771428571428571","0.666484126984127","0.851826086956522","0.840904761904762","0.492063492063492","0.842862777077619","7-5"
"96","0.714285714285714","0.665335968379447","0.862383409504153","0.75233860342556","0.578333333333333","0.802218158962345","7-6"
"97","0.714285714285714","0.557377990430622","0.812975969335102","0.798089314194577","0.316666666666667","0.804959441793853","7-7"
"98","0.692857142857143","0.612292490118577","0.832763144783605","0.764584980237154","0.46","0.792203765227021","7-8"
"99","0.728571428571429","0.637582345191041","0.851884057971014","0.800402785620177","0.474761904761905","0.821352264183407","7-9"
"100","0.771428571428571","0.642857142857143","0.843511387163561","0.871428571428571","0.414285714285714","0.856541551801324","7-10"
"101","0.75","0.658505237452606","0.853954894210649","0.81542317331791","0.501587301587302","0.832207526772744","7-11"
"102","0.75","0.685276679841897","0.86694899303595","0.810553359683794","0.56","0.833676068684577","7-12"
"103","0.742857142857143","0.65106672313194","0.850222222222222","0.814752493882929","0.487380952380952","0.829922394678492","7-13"
"104","0.721428571428572","0.588561076604555","0.822766798418972","0.815693581780538","0.361428571428571","0.818969578702521","7-14"
"105","0.742857142857143","0.580085858585859","0.821640316205534","0.855171717171717","0.305","0.836273372018053","7-15"
"106","0.771428571428571","0.633839406207827","0.836883116883117","0.884345479082321","0.383333333333333","0.856496598639456","8-1"
"107","0.757142857142857","0.579205314009662","0.817805905849384","0.882855072463768","0.275555555555556","0.845982496755411","8-2"
