"","accuracy","auc","precision","recall","specificity","f1","V1"
"1","0.764285714285714","0.657828439676266","0.846799805838707","0.854942593638246","0.460714285714286","0.848227617792835","1"
"2","0.75","0.642416666666667","0.829238095238095","0.8515","0.433333333333333","0.834843570843571","2"
"3","0.785714285714286","0.713099567099567","0.874860411899314","0.857151515151515","0.569047619047619","0.861165311653117","3"
"4","0.685714285714286","0.583225108225108","0.828497751295234","0.764069264069264","0.402380952380952","0.790703388377807","4"
"5","0.721428571428572","0.616837944664032","0.839973649538867","0.795104460756635","0.438571428571429","0.81327812284334","5"
"6","0.671428571428571","0.597082668793195","0.82950257997936","0.733054226475279","0.461111111111111","0.774392797423415","6"
"7","0.714285714285714","0.587489200984624","0.821698889345948","0.803946655937503","0.371031746031746","0.809765611509798","7"
"8","0.771428571428571","0.702453861927546","0.870761782974059","0.823955342902711","0.580952380952381","0.843830100123006","8"
"9","0.664285714285714","0.640989010989011","0.840275689223058","0.724835164835165","0.557142857142857","0.768234610917538","9"
"10","0.7","0.651","0.849649122807018","0.743666666666667","0.558333333333333","0.791805751707832","10"
"11","0.728571428571429","0.606462242562929","0.818608695652174","0.816734008935382","0.396190476190476","0.815401970532405","11"
"12","0.692857142857143","0.636590909090909","0.846040100250627","0.758896103896104","0.514285714285714","0.790046575211814","12"
"13","0.707142857142857","0.597753152644457","0.828182957393484","0.793363448146057","0.402142857142857","0.807572950148106","13"
"14","0.728571428571429","0.700716138171516","0.866153127917834","0.786194181104936","0.615238095238095","0.816176459199715","14"
"15","0.7","0.602103991863717","0.819974025974026","0.80476353928299","0.399444444444444","0.805456558944931","15"
