"","accuracy","auc","precision","recall","specificity","f1","V1"
"1","0.742857142857143","0.649270600744285","0.835708342001248","0.823938026885395","0.474603174603175","0.8283103075786","1-1-1"
"2","0.821428571428572","0.703680124223602","0.878898878898879","0.906645962732919","0.500714285714286","0.88802757724877","1-1-2"
"3","0.792857142857143","0.717952192734801","0.877159796725014","0.853999623564841","0.581904761904762","0.864357864357864","1-1-3"
"4","0.757142857142857","0.653787878787879","0.834438368648895","0.874242424242424","0.433333333333333","0.846653443575896","1-1-4"
"5","0.778571428571429","0.663087428716719","0.8635803412274","0.83792088917947","0.488253968253968","0.843335909430847","1-1-5"
"6","0.771428571428571","0.69896480331263","0.873333333333333","0.826501035196687","0.571428571428571","0.849023334389188","1-1-6"
"7","0.778571428571429","0.638311688311688","0.844526915113872","0.890909090909091","0.385714285714286","0.859305364861429","1-1-7"
"8","0.785714285714286","0.743127705627706","0.89328320802005","0.826731601731602","0.65952380952381","0.857512406292894","1-1-8"
"9","0.814285714285714","0.701547619047619","0.866918500264038","0.894523809523809","0.508571428571429","0.879146567717996","1-1-9"
"10","0.771428571428571","0.731345755693582","0.886019396316879","0.816977225672878","0.645714285714286","0.846450216450216","1-1-10"
"11","0.728571428571429","0.571958421695264","0.810500139236981","0.878837478311162","0.265079365079365","0.832249495165335","1-1-11"
"12","0.757142857142857","0.609275362318841","0.820958027479767","0.893550724637681","0.325","0.850341394652218","1-1-12"
"13","0.771428571428571","0.665622844991266","0.862735247208932","0.851880610617453","0.479365079365079","0.853504273504273","1-1-13"
"14","0.785714285714286","0.689267363071711","0.861926406926407","0.860677583286279","0.517857142857143","0.86093577183354","1-1-14"
"15","0.75","0.6315","0.838527583781588","0.846333333333333","0.416666666666667","0.838785103785104","1-1-15"
"16","0.778571428571428","0.694812599681021","0.877301587301587","0.839625199362041","0.55","0.855061368837113","1-2-1"
"17","0.792857142857143","0.696308207937499","0.866086329129807","0.861505304763886","0.531111111111111","0.861956405749896","1-2-2"
"18","0.821428571428571","0.719711870255349","0.874237411711096","0.896566597653554","0.542857142857143","0.883524332810047","1-2-3"
"19","0.771428571428571","0.634123847167325","0.845484164957849","0.871581027667984","0.396666666666667","0.855065668630886","1-2-4"
"20","0.8","0.696555264002834","0.863917748917749","0.881249056144197","0.511861471861472","0.869698349925142","1-2-5"
"21","0.742857142857143","0.665405427905428","0.834523809523809","0.832001332001332","0.498809523809524","0.830371465957222","1-2-6"
"22","0.8","0.657424242424242","0.854957651044608","0.898181818181818","0.416666666666667","0.874735591206179","1-2-7"
"23","0.807142857142857","0.697284878863826","0.882710622710623","0.873934837092732","0.520634920634921","0.868124387689605","1-2-8"
"24","0.792857142857143","0.709447738252086","0.875936507936508","0.852228809837505","0.566666666666667","0.86215304954543","1-2-9"
"25","0.778571428571429","0.688271221532091","0.854985994397759","0.860113871635611","0.516428571428571","0.851595806914956","1-2-10"
"26","0.771428571428571","0.701269841269841","0.845897435897436","0.844444444444444","0.558095238095238","0.84050429536363","1-2-11"
"27","0.757142857142857","0.673968633705476","0.848492822966507","0.845159489633174","0.502777777777778","0.841958561385674","1-2-12"
"28","0.814285714285714","0.685151515151515","0.852360248447205","0.936969696969697","0.433333333333333","0.886535928830582","1-2-13"
"29","0.771428571428571","0.637989621616624","0.833074534161491","0.890423687677692","0.385555555555556","0.856818642350557","1-2-14"
"30","0.778571428571429","0.683218462823726","0.860703933747412","0.855325814536341","0.511111111111111","0.855668681200596","1-2-15"
"31","0.764285714285714","0.534415584415584","0.792952380952381","0.945021645021645","0.123809523809524","0.861348942907413","1-3-1"
"32","0.728571428571429","0.553493318275927","0.800065876152833","0.871748541313759","0.235238095238095","0.832094708304505","1-3-2"
"33","0.757142857142857","0.61547619047619","0.830960735171261","0.871428571428572","0.35952380952381","0.844748812741205","1-3-3"
"34","0.75","0.656613756613757","0.819508752117448","0.884656084656085","0.428571428571429","0.844222212226171","1-3-4"
"35","0.735714285714286","0.622424242424242","0.829666666666667","0.855454545454545","0.389393939393939","0.830565360271543","1-3-5"
"36","0.764285714285714","0.680747223790702","0.866363304214967","0.826256352343309","0.535238095238095","0.843738869825826","1-3-6"
"37","0.8","0.656285714285714","0.848007384772091","0.914952380952381","0.397619047619048","0.874090021678061","1-3-7"
"38","0.8","0.707079710144928","0.875568367559214","0.862492753623188","0.551666666666667","0.868327473815279","1-3-8"
"39","0.792857142857143","0.642865612648221","0.841558441558442","0.915731225296443","0.37","0.872455648926237","1-3-9"
"40","0.764285714285714","0.675248917748918","0.853058535667231","0.846926406926407","0.503571428571429","0.847667196302181","1-3-10"
"41","0.771428571428572","0.685614530397139","0.865755148741419","0.834086203651421","0.537142857142857","0.848229056203605","1-3-11"
"42","0.792857142857143","0.657121212121212","0.846398268398268","0.897575757575758","0.416666666666667","0.868321910324413","1-3-12"
"43","0.835714285714286","0.737142857142857","0.88770446648021","0.91","0.564285714285714","0.893952085306394","1-3-13"
"44","0.785714285714286","0.670357142857143","0.843506493506493","0.903571428571429","0.437142857142857","0.86614781645722","1-3-14"
"45","0.707142857142857","0.608297448165869","0.82356862745098","0.816594896331738","0.4","0.810154408520829","1-3-15"
"46","0.75","0.639393939393939","0.8441647597254","0.845454545454545","0.433333333333333","0.839504452187379","1-4-1"
"47","0.778571428571429","0.656817805383023","0.847005976479661","0.869826086956522","0.443809523809524","0.854717118814314","1-4-2"
