"","accuracy","auc","precision","recall","specificity","f1","V1"
"1","0.778571428571429","0.659221720308677","0.849431840470742","0.872729154903068","0.445714285714286","0.858313975996903","1"
"2","0.764285714285714","0.673666666666667","0.841748917748918","0.864","0.483333333333333","0.845509835194046","2"
"3","0.764285714285714","0.702841991341991","0.877733860342556","0.816398268398268","0.589285714285714","0.840966940009916","3"
"4","0.671428571428571","0.532251082251082","0.796018455228982","0.781168831168831","0.283333333333333","0.78656330749354","4"
"5","0.678571428571428","0.603658949745906","0.823182957393484","0.738746470920384","0.468571428571429","0.777742582620631","5"
"6","0.664285714285714","0.556465975544923","0.806870250492542","0.740709728867624","0.372222222222222","0.771249076127125","6"
"7","0.671428571428571","0.59030829582317","0.803464854494603","0.756807067836816","0.423809523809524","0.777595204585264","7"
"8","0.771428571428571","0.672322017164122","0.848520923520923","0.847818637502848","0.496825396825397","0.847651531502463","8"
"9","0.728571428571429","0.70217032967033","0.86555023923445","0.786483516483517","0.617857142857143","0.817486157253599","9"
"10","0.714285714285714","0.650166666666667","0.847619047619048","0.783666666666667","0.516666666666667","0.809119830328738","10"
"11","0.721428571428572","0.621275652900367","0.834193190486097","0.795567178816607","0.446984126984127","0.812841482270374","11"
"12","0.685714285714286","0.618971861471861","0.837671451355662","0.743896103896104","0.494047619047619","0.785704620582669","12"
"13","0.714285714285714","0.597146621494448","0.829156785243742","0.800007528703181","0.394285714285714","0.812499621269504","13"
"14","0.7","0.660214885038684","0.853220823798627","0.756620246267844","0.563809523809524","0.795748900626949","14"
"15","0.707142857142857","0.624422832443427","0.830610644257703","0.79440122044241","0.454444444444444","0.805050505050505","15"
